,club_name,tr_begin,year,ranking,ranking_class
0,ADO Den Haag,1357,2010,6,2
1,ADO Den Haag,1480,2011,15,5
2,ADO Den Haag,1397,2012,9,3
3,ADO Den Haag,1384,2013,9,3
4,ADO Den Haag,1451,2014,13,5
5,ADO Den Haag,1452,2015,11,4
6,ADO Den Haag,1495,2016,11,4
7,ADO Den Haag,1383,2017,7,3
8,Ajax,1784,2010,1,1
9,Ajax,1740,2011,1,1
10,Ajax,1775,2012,1,1
11,Ajax,1748,2013,1,1
12,Ajax,1701,2014,2,1
13,Ajax,1746,2015,2,1
14,Ajax,1737,2016,2,1
15,Ajax,1729,2017,2,1
16,AZ Alkmaar,1598,2010,5,2
17,AZ Alkmaar,1617,2011,4,2
18,AZ Alkmaar,1603,2012,10,4
19,AZ Alkmaar,1504,2013,8,3
20,AZ Alkmaar,1513,2014,3,1
21,AZ Alkmaar,1521,2015,4,2
22,AZ Alkmaar,1615,2016,6,2
23,AZ Alkmaar,1539,2017,3,1
27,Cambuur,1403,2013,12,4
28,Cambuur,1458,2014,12,4
29,Cambuur,1377,2015,18,6
32,De Graafschap,1397,2010,14,5
33,De Graafschap,1373,2011,17,6
37,De Graafschap,1292,2015,17,6
40,Excelsior,1418,2010,16,6
41,Excelsior,1360,2011,18,6
44,Excelsior,1315,2014,15,5
45,Excelsior,1347,2015,15,5
46,Excelsior,1348,2016,12,4
47,Excelsior,1398,2017,11,4
56,FC Groningen,1493,2010,4,2
57,FC Groningen,1496,2011,14,5
58,FC Groningen,1393,2012,7,3
59,FC Groningen,1435,2013,7,3
60,FC Groningen,1514,2014,8,3
61,FC Groningen,1479,2015,7,3
62,FC Groningen,1443,2016,8,3
63,FC Groningen,1506,2017,12,4
64,FC Twente,1715,2010,2,1
65,FC Twente,1685,2011,6,2
66,FC Twente,1624,2012,3,1
67,FC Twente,1617,2013,3,1
68,FC Twente,1625,2014,10,4
69,FC Twente,1497,2015,12,4
70,FC Twente,1484,2016,7,3
71,FC Twente,1430,2017,18,6
72,FC Utrecht,1561,2010,9,3
73,FC Utrecht,1496,2011,11,4
74,FC Utrecht,1486,2012,2,1
75,FC Utrecht,1559,2013,10,4
76,FC Utrecht,1475,2014,11,4
77,FC Utrecht,1469,2015,5,2
78,FC Utrecht,1504,2016,4,2
79,FC Utrecht,1599,2017,5,2
80,Feyenoord,1594,2010,10,4
81,Feyenoord,1553,2011,3,1
82,Feyenoord,1654,2012,5,2
83,Feyenoord,1599,2013,2,1
84,Feyenoord,1665,2014,4,2
85,Feyenoord,1628,2015,3,1
86,Feyenoord,1639,2016,1,1
87,Feyenoord,1709,2017,4,2
91,Go Ahead Eagles,1431,2013,13,5
92,Go Ahead Eagles,1381,2014,17,6
94,Go Ahead Eagles,1301,2016,18,6
96,Heracles,1497,2010,8,3
97,Heracles,1528,2011,12,4
98,Heracles,1428,2012,12,4
99,Heracles,1430,2013,14,5
100,Heracles,1362,2014,14,5
101,Heracles,1453,2015,6,2
102,Heracles,1458,2016,10,4
103,Heracles,1468,2017,10,4
104,NAC Breda,1419,2010,12,4
105,NAC Breda,1392,2011,13,5
106,NAC Breda,1407,2012,13,5
107,NAC Breda,1388,2013,15,5
108,NAC Breda,1414,2014,16,6
111,NAC Breda,1328,2017,14,5
112,NEC Nijmegen,1369,2010,11,4
113,NEC Nijmegen,1462,2011,9,3
114,NEC Nijmegen,1474,2012,15,5
115,NEC Nijmegen,1352,2013,17,6
117,NEC Nijmegen,1380,2015,10,4
118,NEC Nijmegen,1417,2016,16,6
122,PEC Zwolle,1399,2012,11,4
123,PEC Zwolle,1485,2013,11,4
124,PEC Zwolle,1454,2014,6,2
125,PEC Zwolle,1523,2015,8,3
126,PEC Zwolle,1451,2016,14,5
127,PEC Zwolle,1434,2017,9,3
128,PSV Eindhoven,1728,2010,3,1
129,PSV Eindhoven,1701,2011,2,1
130,PSV Eindhoven,1690,2012,4,2
131,PSV Eindhoven,1672,2013,4,2
132,PSV Eindhoven,1649,2014,1,1
133,PSV Eindhoven,1727,2015,1,1
134,PSV Eindhoven,1825,2016,3,1
135,PSV Eindhoven,1778,2017,1,1
137,RKC Waalwijk,1305,2011,8,3
138,RKC Waalwijk,1420,2012,14,5
139,RKC Waalwijk,1399,2013,16,6
144,Roda JC Kerkrade,1481,2010,7,3
145,Roda JC Kerkrade,1453,2011,10,4
146,Roda JC Kerkrade,1421,2012,16,6
147,Roda JC Kerkrade,1449,2013,18,6
149,Roda JC Kerkrade,1384,2015,14,5
150,Roda JC Kerkrade,1363,2016,17,6
151,Roda JC Kerkrade,1342,2017,16,6
152,SC Heerenveen,1412,2010,13,5
153,SC Heerenveen,1421,2011,5,2
154,SC Heerenveen,1557,2012,8,3
155,SC Heerenveen,1475,2013,5,2
156,SC Heerenveen,1568,2014,7,3
157,SC Heerenveen,1537,2015,13,5
158,SC Heerenveen,1459,2016,9,3
159,SC Heerenveen,1440,2017,8,3
166,Sparta Rotterdam,1329,2016,15,5
167,Sparta Rotterdam,1332,2017,17,6
168,Vitesse,1349,2010,15,5
169,Vitesse,1394,2011,7,3
170,Vitesse,1511,2012,6,2
171,Vitesse,1573,2013,6,2
172,Vitesse,1526,2014,5,2
173,Vitesse,1603,2015,9,3
174,Vitesse,1533,2016,5,2
175,Vitesse,1524,2017,6,2
176,VVV-Venlo,1364,2010,17,6
177,VVV-Venlo,1287,2011,16,6
178,VVV-Venlo,1300,2012,17,6
183,VVV-Venlo,1336,2017,15,5
184,Willem II,1258,2010,18,6
186,Willem II,1221,2012,18,6
188,Willem II,1261,2014,9,3
189,Willem II,1382,2015,16,6
190,Willem II,1355,2016,13,5
191,Willem II,1360,2017,13,5
